    time    temp    dens
   1.19751502471650E-01   3.14385010833739E+00   1.15373383515271E+05
     nin     zin       y       x
  1    0     6.24419747874053E-11   6.24419747874053E-11
  0    1     9.76326111987296E-02   9.76326111987296E-02
  1    1     1.44854023254933E-13   2.89708046509865E-13
  2    1     2.58188764471220E-14   7.74566293413661E-14
  1    2     4.44672076939074E-08   1.33401623081722E-07
  2    2     2.21947117894645E-01   8.87788471578580E-01
  4    2     6.68202025321139E-31   4.00921215192683E-30
  3    3     3.85793450393174E-14   2.31476070235904E-13
  4    3     1.38408075805745E-17   9.68856530640212E-17
  5    3     9.93197071689855E-31   7.94557657351884E-30
  6    3     1.56440283954863E-40   1.40796255559377E-39
  3    4     6.27825704868085E-12   4.39477993407660E-11
  5    4     7.73204962443893E-18   6.95884466199504E-17
  6    4     2.01504566316126E-22   2.01504566316126E-21
  7    4     3.11052569362530E-37   3.42157826298783E-36
  8    4     6.53971858701743E-49   7.84766230442091E-48
  3    5     1.63065688801878E-18   1.30452551041503E-17
  5    5     1.35057641631912E-13   1.35057641631912E-12
  6    5     2.69432121100468E-21   2.96375333210515E-20
  7    5     1.51572462354728E-26   1.81886954825673E-25
  8    5     1.02645619185446E-30   1.33439304941079E-29
  9    5     3.36175753999773E-45   4.70646055599682E-44
  3    6     1.91009081335838E-23   1.71908173202254E-22
  4    6     9.01229923033335E-14   9.01229923033335E-13
  5    6     2.78335859220011E-14   3.06169445142012E-13
  6    6     4.56295597606979E-09   5.47554717128374E-08
  7    6     4.05622862621571E-13   5.27309721408042E-12
  8    6     3.12210818496955E-20   4.37095145895737E-19
  9    6     3.84898064022829E-31   5.77347096034244E-30
 10    6     1.28604872289759E-34   2.05767795663614E-33
 11    6     5.56973490379334E-49   9.46854933644867E-48
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.45265810332923E-24   1.59792391366215E-23
  5    7     2.23835506006975E-20   2.68602607208370E-19
  6    7     1.34089451366798E-12   1.74316286776838E-11
  7    7     7.57651672406029E-12   1.06071234136844E-10
  8    7     8.00761518033772E-17   1.20114227705066E-15
  9    7     6.95075405153186E-24   1.11212064824510E-22
 10    7     1.32810186345907E-19   2.25777316788042E-18
 11    7     1.23864289156507E-23   2.22955720481713E-22
 12    7     1.45215270836096E-20   2.75909014588583E-19
 13    7     5.00905706194232E-33   1.00181141238846E-31
 14    7     2.61208187996056E-21   5.48537194791717E-20
  5    8     9.31621376647490E-25   1.21110778964174E-23
  6    8     1.93514932042340E-12   2.70920904859275E-11
  7    8     1.57705824455273E-10   2.36558736682909E-09
  8    8     1.93112097823449E-07   3.08979356517518E-06
  9    8     1.55120734463847E-13   2.63705248588541E-12
 10    8     2.11023640685699E-22   3.79842553234259E-21
 11    8     4.48644039200507E-27   8.52423674480963E-26
 12    8     4.40578354315548E-23   8.81156708631096E-22
 13    8     1.29874206085069E-32   2.72735832778644E-31
 14    8     2.60859736928268E-36   5.73891421242189E-35
  5    9     1.53327417684744E-38   2.14658384758641E-37
  6    9     3.09169104164072E-21   4.63753656246108E-20
  7    9     1.20243885356649E-17   1.92390216570639E-16
  8    9     1.45681642747908E-12   2.47658792671443E-11
