    time    temp    dens
   7.86436642328121E-01   7.52343239094522E-02   1.63293378978690E+00
     nin     zin       y       x
  1    0     3.86882403154894E-10   3.86882403154894E-10
  0    1     9.11699363240515E-02   9.11699363240515E-02
  1    1     6.40221307103703E-07   1.28044261420741E-06
  2    1     5.14296489925357E-08   1.54288946977607E-07
  1    2     1.84026314392798E-06   5.52078943178393E-06
  2    2     2.21332078564047E-01   8.85328314256186E-01
  4    2     1.52624731694030E-21   9.15748390164177E-21
  3    3     1.16037080264283E-14   6.96222481585699E-14
  4    3     4.17988472693710E-10   2.92591930885597E-09
  5    3     4.96929587962099E-17   3.97543670369679E-16
  6    3     1.06661948890177E-23   9.59957540011592E-23
  3    4     4.18652308654509E-10   2.93056616058156E-09
  5    4     2.57267031468179E-14   2.31540328321361E-13
  6    4     1.76562846309484E-14   1.76562846309484E-13
  7    4     5.40250654484563E-22   5.94275719933020E-21
  8    4     3.28482757688141E-30   3.94179309225769E-29
  3    5     1.42651211509921E-13   1.14120969207937E-12
  5    5     1.06005704533688E-11   1.06005704533688E-10
  6    5     4.19621130750323E-08   4.61583243825355E-07
  7    5     6.69867972114058E-15   8.03841566536870E-14
  8    5     2.09714777059524E-18   2.72629210177381E-17
  9    5     1.02217457912461E-28   1.43104441077446E-27
  3    6     2.26100518069369E-13   2.03490466262432E-12
  4    6     1.46186891851764E-09   1.46186891851765E-08
  5    6     1.85421372785222E-06   2.03963510063745E-05
  6    6     4.31167980764634E-06   5.17401576917560E-05
  7    6     4.32731722932711E-07   5.62551239812525E-06
  8    6     2.69330756708156E-10   3.77063059391418E-09
  9    6     7.24217551567764E-17   1.08632632735165E-15
 10    6     1.05221748465036E-17   1.68354797544057E-16
 11    6     7.53758286217148E-26   1.28138908656915E-24
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.40708003593437E-28   1.54778803952781E-27
  5    7     7.24367974145615E-16   8.69241568974738E-15
  6    7     1.11979580626620E-06   1.45573454814607E-05
  7    7     3.86763864314722E-07   5.41469410040611E-06
  8    7     7.01260639298821E-07   1.05189095894823E-05
  9    7     1.36771013128754E-12   2.18833621006006E-11
 10    7     2.98284158363057E-11   5.07083069217198E-10
 11    7     1.78796381236159E-13   3.21833486225086E-12
 12    7     5.29838993712694E-14   1.00669408805412E-12
 13    7     1.06670805249610E-17   2.13341610499219E-16
 14    7     3.07843888928714E-19   6.46472166750299E-18
  5    8     3.55683157774930E-19   4.62388105107408E-18
  6    8     5.83205303427221E-06   8.16487424798109E-05
  7    8     6.62343440185905E-06   9.93515160278857E-05
  8    8     6.87645979358212E-06   1.10023356697314E-04
  9    8     6.41307995307836E-08   1.09022359202332E-06
 10    8     4.31614427838821E-09   7.76905970109877E-08
 11    8     1.23853318244603E-13   2.35321304664745E-12
 12    8     1.93125718551151E-14   3.86251437102302E-13
 13    8     4.82126768864693E-18   1.01246621461586E-16
 14    8     3.08332358381464E-19   6.78331188439221E-18
  5    9     5.48766323018269E-48   7.68272852225576E-47
  6    9     5.43123189154400E-19   8.14684783731600E-18
  7    9     3.16881956358372E-19   5.07011130173395E-18
  8    9     6.97763130933633E-08   1.18619732258718E-06
  9    9     3.86858128907708E-08   6.96344632033875E-07
 10    9     2.32912253128850E-08   4.42533280944815E-07
 11    9     9.75319511518639E-12   1.95063902303728E-10
 12    9     4.99651685882722E-13   1.04926854035372E-11
 13    9     6.12105765897432E-15   1.34663268497435E-13
 14    9     1.38907541477152E-18   3.19487345397450E-17
