    time    temp    dens
   9.73762209969441E-01   6.05903712599776E-02   8.60203188160945E-01
     nin     zin       y       x
  1    0     4.19793891195885E-10   4.19793891195885E-10
  0    1     9.11682248755870E-02   9.11682248755870E-02
  1    1     7.75422759857153E-07   1.55084551971431E-06
  2    1     8.21726244688632E-08   2.46517873406590E-07
  1    2     1.84888153706714E-06   5.54664461120141E-06
  2    2     2.21332341746580E-01   8.85329366986322E-01
  4    2     2.84045948344547E-21   1.70427569006728E-20
  3    3     1.81791511492992E-14   1.09074906895795E-13
  4    3     5.14302171987240E-10   3.60011520391068E-09
  5    3     1.58322212945295E-16   1.26657770356236E-15
  6    3     3.13806525507138E-23   2.82425872956424E-22
  3    4     3.22270341863991E-10   2.25589239304793E-09
  5    4     6.26201245300087E-14   5.63581120770078E-13
  6    4     3.45633336441964E-14   3.45633336441964E-13
  7    4     1.42857854442611E-21   1.57143639886872E-20
  8    4     5.48630914249837E-30   6.58357097099805E-29
  3    5     1.16386866460855E-13   9.31094931686844E-13
  5    5     1.97092795045215E-11   1.97092795045215E-10
  6    5     6.61536666530650E-08   7.27690333183715E-07
  7    5     4.49916139438507E-15   5.39899367326208E-14
  8    5     1.39860149248393E-18   1.81818194022910E-17
  9    5     3.05201230990470E-29   4.27281723386658E-28
  3    6     2.26100522249127E-13   2.03490470024214E-12
  4    6     1.45207263154165E-09   1.45207263154165E-08
  5    6     1.84674782754603E-06   2.03142261030063E-05
  6    6     4.33348539136616E-06   5.20018246963939E-05
  7    6     4.41522108897497E-07   5.73978741566746E-06
  8    6     2.79814315694285E-10   3.91740041971999E-09
  9    6     7.84383840402334E-17   1.17657576060350E-15
 10    6     1.15774515317109E-17   1.85239224507375E-16
 11    6     5.58344720858315E-26   9.49186025459135E-25
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.04834894146869E-29   1.15318383561556E-28
  5    7     1.85076716843544E-16   2.22092060212253E-15
  6    7     1.11089345852398E-06   1.44416149608117E-05
  7    7     4.00252633419333E-07   5.60353686787066E-06
  8    7     7.75099738669859E-07   1.16264960800479E-05
  9    7     1.48432571869947E-12   2.37492114991916E-11
 10    7     2.91731418432974E-11   4.95943411336056E-10
 11    7     1.56299017232375E-13   2.81338231018275E-12
 12    7     4.04158098194783E-14   7.67900386570088E-13
 13    7     6.83208347212269E-18   1.36641669442454E-16
 14    7     1.68831836491307E-19   3.54546856631745E-18
  5    8     2.02927006942531E-19   2.63805109025290E-18
  6    8     5.77319872161068E-06   8.08247821025495E-05
  7    8     6.52929921369427E-06   9.79394882054141E-05
  8    8     6.87747149334588E-06   1.10039543893534E-04
  9    8     6.53677403985464E-08   1.11125158677529E-06
 10    8     4.97343655369934E-09   8.95218579665881E-08
 11    8     1.41414692571378E-13   2.68687915885619E-12
 12    8     2.06859278106339E-14   4.13718556212678E-13
 13    8     5.28568664775704E-18   1.10999419602898E-16
 14    8     3.22323521787193E-19   7.09111747931824E-18
  5    9     5.24559124391615E-48   7.34382774148261E-47
  6    9     6.38677959371196E-18   9.58016939056794E-17
  7    9     2.67014457645717E-18   4.27223132233148E-17
  8    9     6.70250600316603E-08   1.13942602053823E-06
  9    9     4.29507539951310E-08   7.73113571912357E-07
 10    9     2.46094304593423E-08   4.67579178727503E-07
 11    9     9.96430418317501E-12   1.99286083663500E-10
 12    9     5.25692889704695E-13   1.10395506837986E-11
 13    9     5.93754188130142E-15   1.30625921388631E-13
 14    9     1.40515689284389E-18   3.23186085354094E-17
 15    9     1.20785639793542E-19   2.89885535504500E-18
 16    9     1.37324249981958E-21   3.43310624954896E-20
 17    9     2.26479636925813E-24   5.88847056007114E-23
  7   10     5.97838804562668E-14   1.01632596775654E-12
  8   10     6.29458710773329E-08   1.13302567939199E-06
  9   10     9.90470049429131E-08   1.88189309391535E-06
 10   10     1.48758058110073E-06   2.97516116220146E-05
 11   10     6.43589629566924E-08   1.35153822209054E-06
 12   10     2.32268039487317E-07   5.10989686872098E-06
 13   10     3.19453941512940E-12   7.34744065479762E-11
 14   10     7.72047307013235E-14   1.85291353683176E-12
 15   10     1.95655817414727E-15   4.89139543536819E-14
 16   10     4.87173938745692E-16   1.26665224073880E-14
 17   10     8.93761191974983E-21   2.41315521833245E-19
 18   10     7.58144875076560E-24   2.12280565021437E-22
 19   10     1.45087486835551E-27   4.20753711823099E-26
 20   10     1.57531245845109E-29   4.72593737535327E-28
 21   10     1.06673947768096E-34   3.30689238081099E-33
 22   10     8.64044775555998E-38   2.76494328177919E-36
 23   10     2.23754899231480E-40   7.38391167463884E-39
 24   10     6.81596821933209E-45   2.31742919457291E-43
 25   10     3.96967533707840E-93   1.38938636797744E-91
 26   10     6.73676622197538E-92   2.42523583991114E-90
 27   10     1.70695197955177E-91   6.31572232434154E-90
 28   10     1.00000000000000E-99   8.47888139786346E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     9.89636963687250E-15   1.88031023100577E-13
  9   11     3.12812776366668E-09   6.25625552733336E-08
 10   11     1.29032713999732E-07   2.70968699399436E-06
 11   11     2.48210873148708E-07   5.46063920927157E-06
 12   11     3.27512924723266E-07   7.53279726863512E-06
 13   11     2.58122155656471E-10   6.19493173575529E-09
 14   11     1.11163465410985E-11   2.77908663527462E-10
 15   11     4.55427755276433E-13   1.18411216371872E-11
 16   11     3.87521113901927E-14   1.04630700753520E-12
 17   11     8.45212028214098E-18   2.36659367899947E-16
 18   11     1.39056049390807E-20   4.03262543233341E-19
 19   11     2.07765784787318E-23   6.23297354361955E-22
