    time    temp    dens
   1.91422693786640E+00   3.05420778282013E-02   1.13234698017399E-01
     nin     zin       y       x
  1    0     6.03730296122564E-10   6.03730296122564E-10
  0    1     9.11651843753628E-02   9.11651843753628E-02
  1    1     1.15870385121594E-06   2.31740770243188E-06
  2    1     2.44723954318258E-07   7.34171862954773E-07
  1    2     1.83585646831165E-06   5.50756940493496E-06
  2    2     2.21332632357135E-01   8.85330529428542E-01
  4    2     5.30763473958176E-21   3.18458084374906E-20
  3    3     4.45923281480491E-14   2.67553968888295E-13
  4    3     6.55814110913643E-10   4.59069877639550E-09
  5    3     3.91531030547821E-16   3.13224824438257E-15
  6    3     6.44404977163495E-23   5.79964479447145E-22
  3    4     2.06300879377821E-10   1.44410615564475E-09
  5    4     1.74832051868071E-13   1.57348846681264E-12
  6    4     7.54372840832895E-14   7.54372840832895E-13
  7    4     4.69810373108881E-21   5.16791410419770E-20
  8    4     3.63759294239058E-30   4.36511153086869E-29
  3    5     4.70208174020231E-14   3.76166539216185E-13
  5    5     6.59292824794132E-11   6.59292824794132E-10
  6    5     1.10853307101061E-07   1.21938637811168E-06
  7    5     4.37047998287831E-16   5.24457597945398E-15
  8    5     3.62673607441287E-19   4.71475689673673E-18
  9    5     7.12364231204835E-31   9.97309923686769E-30
  3    6     2.26100522558984E-13   2.03490470303085E-12
  4    6     1.40385612145274E-09   1.40385612145274E-08
  5    6     1.82833704813866E-06   2.01117075295253E-05
  6    6     4.36870009636106E-06   5.24244011563328E-05
  7    6     4.55968902999355E-07   5.92759573899162E-06
  8    6     2.99098143963619E-10   4.18737401549067E-09
  9    6     7.19839135537998E-17   1.07975870330700E-15
 10    6     8.69534589442345E-18   1.39125534310775E-16
 11    6     5.93091228899035E-27   1.00825508912836E-25
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     2.28222194148521E-35   2.51044413563373E-34
  5    7     3.79305046043081E-17   4.55166055251697E-16
  6    7     1.09626874609353E-06   1.42514936992159E-05
  7    7     4.57029064719552E-07   6.39840690607373E-06
  8    7     9.16740509749477E-07   1.37511076462422E-05
  9    7     1.58181873664351E-12   2.53090997862961E-11
 10    7     2.53613311887656E-11   4.31142630209016E-10
 11    7     6.68636617960414E-14   1.20354591232875E-12
 12    7     9.17264827171936E-15   1.74280317162668E-13
 13    7     1.24931142616963E-18   2.49862285233926E-17
 14    7     2.88885974811436E-20   6.06660547104016E-19
  5    8     4.07199817805819E-20   5.29359763147564E-19
  6    8     5.64694401016223E-06   7.90572161422712E-05
  7    8     6.35503734748486E-06   9.53255602122729E-05
  8    8     6.87908553857766E-06   1.10065368617243E-04
  9    8     6.77247893750521E-08   1.15132141937589E-06
 10    8     6.31352033317918E-09   1.13643365997225E-07
 11    8     1.75724451550920E-13   3.33876457946749E-12
 12    8     2.24634446348965E-14   4.49268892697930E-13
 13    8     5.76810018176488E-18   1.21130103817062E-16
 14    8     2.92655702481574E-19   6.43842545459463E-18
  5    9     4.86221819284898E-48   6.80710546998858E-47
  6    9     4.14070207409791E-16   6.21105311114686E-15
  7    9     7.00650582923934E-16   1.12104093267829E-14
  8    9     6.21992892348765E-08   1.05738791699290E-06
  9    9     6.03684078201324E-08   1.08663134076238E-06
 10    9     2.89099472813032E-08   5.49288998344762E-07
 11    9     9.70084179334972E-12   1.94016835866994E-10
 12    9     5.20741371268077E-13   1.09355687966296E-11
 13    9     5.11259646953334E-15   1.12477122329734E-13
 14    9     1.22429060473061E-18   2.81586839088041E-17
 15    9     3.72965543552859E-20   8.95117304526861E-19
 16    9     2.26647591946989E-22   5.66618979867473E-21
 17    9     4.12022189035722E-25   1.07125769149288E-23
  7   10     4.81892902375832E-16   8.19217934038915E-15
  8   10     4.18224680776985E-08   7.52804425398573E-07
  9   10     9.45534588781187E-08   1.79651571868426E-06
 10   10     1.49108295531588E-06   2.98216591063176E-05
 11   10     7.03330711686890E-08   1.47699449454247E-06
 12   10     2.45244221386678E-07   5.39537287050691E-06
 13   10     3.49477792500768E-12   8.03798922751766E-11
 14   10     8.58085818463573E-14   2.05940596431257E-12
 15   10     9.56668138654724E-16   2.39167034663681E-14
 16   10     6.44705310118852E-17   1.67623380630902E-15
 17   10     2.14412983177602E-21   5.78915054579524E-20
 18   10     1.94058365738011E-23   5.43363424066430E-22
 19   10     3.09720996557223E-28   8.98190890015947E-27
 20   10     2.89845154959768E-30   8.69535464879304E-29
 21   10     1.14591433524586E-35   3.55233443926218E-34
 22   10     5.53104254169891E-39   1.76993361334365E-37
 23   10     6.48899275826833E-42   2.14136761022855E-40
 24   10     1.89726711878182E-46   6.45070820385818E-45
 25   10     2.23726714408545E-96   7.83043500429906E-95
 26   10     3.81107135829962E-95   1.37198568898786E-93
 27   10     9.70195805928752E-95   3.58972448193638E-93
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     5.35807508088895E-15   1.01803426536890E-13
  9   11     5.58430426629288E-10   1.11686085325858E-08
 10   11     1.23414672319244E-07   2.59170811870412E-06
 11   11     2.79576942923699E-07   6.15069274432137E-06
 12   11     3.37130722922183E-07   7.75400662721021E-06
 13   11     3.19584324127966E-10   7.67002377907119E-09
 14   11     1.22222259006790E-11   3.05555647516975E-10
 15   11     2.85589114263786E-13   7.42531697085843E-12
 16   11     7.55570805747430E-15   2.04004117551806E-13
 17   11     1.59495830321051E-18   4.46588324898943E-17
 18   11     1.33589294105906E-20   3.87408952907128E-19
 19   11     5.26506352437817E-24   1.57951905731345E-22
 20   11     1.89150474396159E-26   5.86366470628094E-25
 21   11     5.20151639217597E-31   1.66448524549631E-29
 22   11     1.09747269634326E-33   3.62165989793275E-32
 23   11     2.38228825922715E-37   8.09978008137232E-36
 24   11     2.08157934058366E-41   7.28552769204283E-40
 25   11     2.54156940898190E-46   9.14964987233486E-45
 26   11     4.95286996979495E-52   1.83256188882413E-50
 27   11     3.46723211774956E-83   1.31754820474483E-81
 28   11     8.33455991425391E-94   3.25047836655903E-92
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     3.17295859740832E-15   6.34591719481665E-14
  9   12     1.62237277769718E-12   3.40698283316408E-11
 10   12     2.19581859393756E-07   4.83080090666263E-06
 11   12     7.82038087244779E-08   1.79868760066299E-06
 12   12     4.02658457815901E-07   9.66380298758162E-06
 13   12     9.97166194866169E-07   2.49291548716542E-05
 14   12     9.55030362738158E-07   2.48307894311921E-05
 15   12     2.11841646091225E-11   5.71972444446309E-10
 16   12     1.34843870010988E-12   3.77562836030766E-11
 17   12     1.35001707248605E-14   3.91504951020954E-13
 18   12     8.78846727178368E-16   2.63654018153511E-14
 19   12     4.46511115403599E-20   1.38418445775116E-18
 20   12     1.69518096548341E-20   5.42457908954692E-19
 21   12     1.33951732261242E-25   4.42040716462099E-24
 22   12     3.40512677646438E-28   1.15774310399789E-26
 23   12     1.66057336865923E-29   5.81200679030729E-28
 24   12     2.36007183763639E-33   8.49625861549101E-32
 25   12     1.48236588346531E-34   5.48475376882165E-33
 26   12     2.10881723405363E-37   8.01350548940380E-36
 27   12     8.34046988412597E-45   3.25278325480913E-43
 28   12     5.10610766189183E-53   2.04244306475673E-51
 29   12     6.48499057573510E-95   2.65884613605139E-93
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     6.93473199443342E-19   1.45629371883102E-17
  9   13     2.46453674573152E-16   5.42198084060934E-15
 10   13     2.55150514597012E-13   5.86846183573126E-12
 11   13     1.35420603876489E-08   3.25009449303573E-07
 12   13     4.12835375867110E-07   1.03208843966777E-05
 13   13     5.88428664092507E-08   1.52991452664052E-06
 14   13     1.22202946823502E-06   3.29947956423455E-05
 15   13     1.88890159244303E-09   5.28892445884049E-08
 16   13     9.23310668849861E-11   2.67760093966460E-09
 17   13     1.96704999559156E-12   5.90114998677468E-11
 18   13     6.45380914052297E-14   2.00068083356212E-12
 19   13     1.96275568876809E-19   6.28081820405790E-18
 20   13     1.24745300834830E-18   4.11659492754939E-17
 21   13     2.79468210530974E-22   9.50191915805310E-21
 22   13     2.79043503771435E-25   9.76652263200024E-24
 23   13     1.33180739119322E-26   4.79450660829559E-25
 24   13     1.00673961406093E-29   3.72493657202545E-28
