    time    temp    dens
   9.96826643036671E-01   5.90636120690575E-02   8.01864312060387E-01
     nin     zin       y       x
  1    0     8.69985463755296E-10   8.69985463755296E-10
  0    1     3.12086022023891E-01   3.12086022023891E-01
  1    1     3.39683888724577E-06   6.79367777449154E-06
  2    1     1.12525406693457E-07   3.37576220080370E-07
  1    2     5.72463089861451E-06   1.71738926958435E-05
  2    2     1.68384292527900E-01   6.73537170111602E-01
  4    2     1.64644675450060E-21   9.87868052700361E-21
  3    3     2.51175740135554E-14   1.50705444081332E-13
  4    3     3.25999335460323E-10   2.28199534822226E-09
  5    3     1.04943639581788E-16   8.39549116654306E-16
  6    3     3.07129963433504E-23   2.76416967090154E-22
  3    4     1.75069315318633E-10   1.22548520723043E-09
  5    4     1.47955212159908E-13   1.33159690943917E-12
  6    4     3.78907448025420E-14   3.78907448025420E-13
  7    4     2.21650347342022E-21   2.43815382076224E-20
  8    4     1.58047266219297E-29   1.89656719463156E-28
  3    5     1.03853097623942E-13   8.30824780991537E-13
  5    5     7.45462523545694E-10   7.45462523545694E-09
  6    5     1.62390545537777E-07   1.78629600091555E-06
  7    5     2.06822476760825E-14   2.48186972112990E-13
  8    5     1.01973524524805E-18   1.32565581882247E-17
  9    5     4.17582713232255E-29   5.84615798525156E-28
  3    6     3.59734240175424E-12   3.23760816157882E-11
  4    6     7.19502264395114E-08   7.19502264395114E-07
  5    6     3.10833059531084E-06   3.41916365484192E-05
  6    6     5.77181522829338E-06   6.92617827395206E-05
  7    6     1.19510295357907E-06   1.55363383965278E-05
  8    6     2.46831061459929E-09   3.45563486043901E-08
  9    6     8.11148407925653E-16   1.21672261188848E-14
 10    6     9.17934380902834E-18   1.46869500944453E-16
 11    6     7.50172661044349E-26   1.27529352377539E-24
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     7.86698251835745E-29   8.65368077019319E-28
  5    7     1.01207890193093E-15   1.21449468231712E-14
  6    7     1.51230258253638E-06   1.96599335729729E-05
  7    7     1.79779615194101E-06   2.51691461271741E-05
  8    7     7.24883208470715E-07   1.08732481270607E-05
  9    7     1.52484711433579E-13   2.43975538293726E-12
 10    7     2.78385129548530E-12   4.73254720232500E-11
 11    7     1.92449316734599E-15   3.46408770122279E-14
 12    7     5.56989628884706E-16   1.05828029488094E-14
 13    7     2.08980970835810E-19   4.17961941671620E-18
 14    7     1.77565376307062E-20   3.72887290244830E-19
  5    8     7.17683035323837E-20   9.32987945920988E-19
  6    8     8.04724428520627E-06   1.12661419992888E-04
  7    8     3.55221125058475E-06   5.32831687587713E-05
  8    8     2.97099864522857E-05   4.75359783236572E-04
  9    8     3.98447088744582E-07   6.77360050865789E-06
 10    8     3.11124171882115E-09   5.60023509387807E-08
 11    8     2.06879543764430E-15   3.93071133152416E-14
 12    8     3.41254646168646E-16   6.82509292337291E-15
 13    8     1.42187783266393E-19   2.98594344859425E-18
 14    8     3.09525072017479E-20   6.80955158438454E-19
  5    9     2.69721010666830E-61   3.77609414933563E-60
  6    9     1.23637794018936E-17   1.85456691028404E-16
  7    9     4.15027644042792E-19   6.64044230468468E-18
  8    9     1.30826469430004E-07   2.22404998031006E-06
  9    9     1.36253471016554E-08   2.45256247829798E-07
 10    9     5.17836112494901E-10   9.83888613740313E-09
 11    9     3.35656438972647E-13   6.71312877945293E-12
 12    9     8.61483349352447E-15   1.80911503364014E-13
 13    9     2.37565287088278E-16   5.22643631594213E-15
 14    9     2.05542605476746E-19   4.72747992596516E-18
 15    9     2.82981959063572E-20   6.79156701752572E-19
 16    9     7.47714763219604E-22   1.86928690804901E-20
 17    9     1.69834893328124E-24   4.41570722653123E-23
  7   10     9.41663675978635E-17   1.60082824916368E-15
  8   10     1.73945668207857E-08   3.13102202774143E-07
  9   10     1.03716744518056E-09   1.97061814584307E-08
 10   10     1.65966238182814E-07   3.31932476365628E-06
 11   10     5.04392326536492E-10   1.05922388572663E-08
 12   10     4.35395455534399E-09   9.57870002175678E-08
 13   10     1.17507344889368E-13   2.70266893245546E-12
 14   10     1.49076382797001E-14   3.57783318712803E-13
 15   10     6.52361874773174E-16   1.63090468693294E-14
 16   10     3.71766389999089E-16   9.66592613997630E-15
 17   10     1.49335421614416E-20   4.03205638358923E-19
 18   10     7.03659324163602E-23   1.97024610765808E-21
 19   10     2.81698259546239E-27   8.16924952684094E-26
 20   10     5.42164936129707E-29   1.62649480838912E-27
 21   10     7.19473024744437E-34   2.23036637670775E-32
 22   10     6.01981796592788E-37   1.92634174909692E-35
 23   10     1.43423904169077E-40   4.73298883757954E-39
 24   10     4.50619073081220E-45   1.53210484847615E-43
 25   10     3.95331864080602E-92   1.38366152428211E-90
 26   10     6.17658204712447E-91   2.22356953696481E-89
 27   10     1.43176617827401E-90   5.29753485961385E-89
 28   10     3.59140570593611E-99   1.36473416825572E-97
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     3.18729826865159E-17   6.05586671043801E-16
  9   11     3.73053812474409E-11   7.46107624948817E-10
 10   11     4.48505472010801E-10   9.41861491222681E-09
 11   11     1.58392551199619E-09   3.48463612639161E-08
 12   11     5.62600981882018E-09   1.29398225832864E-07
 13   11     9.13081851392206E-12   2.19139644334129E-10
 14   11     1.68719602275279E-12   4.21799005688197E-11
 15   11     1.07109731128505E-13   2.78485300934112E-12
 16   11     2.33434019051909E-14   6.30271851440154E-13
 17   11     1.08880406011716E-17   3.04865136832805E-16
 18   11     3.69117158647460E-20   1.07043976007763E-18
 19   11     3.08913078264883E-23   9.26739234794650E-22
 20   11     2.01034225386334E-25   6.23206098697634E-24
 21   11     1.08581423021674E-29   3.47460553669355E-28
 22   11     1.68013540433468E-32   5.54444683430443E-31
 23   11     3.52084703110223E-36   1.19708799057476E-34
 24   11     4.27321362287880E-40   1.49562476800758E-38
 25   11     1.78086961923933E-44   6.41113062926158E-43
 26   11     3.50697430524704E-50   1.29758049294141E-48
 27   11     1.08719908893444E-79   4.13135653795086E-78
 28   11     1.81861711652063E-89   7.09260675443044E-88
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     3.14150216222756E-16   6.28300432445512E-15
  9   12     1.04256378825345E-12   2.18938395533225E-11
 10   12     1.20466538840316E-09   2.65026385448695E-08
 11   12     3.22030542519342E-10   7.40670247794487E-09
 12   12     1.48363330676106E-08   3.56071993622654E-07
 13   12     4.77256800320790E-08   1.19314200080197E-06
 14   12     3.08475046479944E-08   8.02035120847855E-07
 15   12     3.49555600459393E-12   9.43800121240361E-11
 16   12     6.99576563858613E-13   1.95881437880412E-11
 17   12     1.73456376785090E-14   5.03023492676760E-13
 18   12     5.46813504700220E-15   1.64044051410066E-13
 19   12     6.24238441186636E-19   1.93513916767857E-17
 20   12     1.72885860755094E-20   5.53234754416301E-19
 21   12     1.25961590221278E-24   4.15673247730216E-23
 22   12     5.99340848589516E-28   2.03775888520435E-26
 23   12     6.18717750310357E-29   2.16551212608625E-27
 24   12     2.74141024183081E-32   9.86907687059090E-31
 25   12     1.33137201037119E-34   4.92607643837340E-33
 26   12     8.89732131257876E-37   3.38098209877993E-35
 27   12     1.07434800592163E-42   4.18995722309437E-41
 28   12     5.34429462142092E-50   2.13771784856837E-48
 29   12     2.24770160504227E-89   9.21557658067331E-88
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     4.94139026568426E-20   1.03769195579369E-18
  9   13     2.49619970391694E-17   5.49163934861727E-16
 10   13     8.86323028426437E-15   2.03854296538080E-13
 11   13     1.04416431156365E-10   2.50599434775275E-09
 12   13     6.74427860951022E-09   1.68606965237756E-07
 13   13     2.91239478735095E-11   7.57222644711247E-10
 14   13     9.07998672770676E-08   2.45159641648083E-06
 15   13     3.24152169103619E-10   9.07626073490134E-09
 16   13     3.65741672361535E-11   1.06065084984845E-09
 17   13     1.33496699767659E-12   4.00490099302977E-11
 18   13     2.01098543008305E-13   6.23405483325747E-12
 19   13     2.92440384294761E-18   9.35809229743236E-17
 20   13     1.07598010751755E-17   3.55073435480792E-16
 21   13     9.71734509062260E-21   3.30389733081169E-19
 22   13     8.00524161384648E-24   2.80183456484627E-22
 23   13     4.32932493642140E-26   1.55855697711170E-24
 24   13     4.76386655571100E-29   1.76263062561307E-27
 25   13     1.19365279042077E-31   4.53588060359894E-30
 26   13     3.80719329987819E-34   1.48480538695250E-32
 27   13     3.41645879333976E-40   1.36658351733590E-38
 28   13     1.45236403969870E-42   5.95469256276466E-41
 29   13     8.95837933723124E-59   3.76251932163712E-57
 30   13     2.16911494529175E-65   9.32719426475451E-64
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     8.22538921222709E-99   3.70142514550219E-97
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     3.55673003749411E-99   1.70723041799717E-97
 36   13     1.00000000000000E-99   8.51973679470059E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     5.14318292832158E-21   1.13150024423075E-19
  9   14     2.02429862747746E-19   4.65588684319817E-18
 10   14     2.88029482239879E-16   6.91270757375709E-15
 11   14     8.67232200145651E-12   2.16808050036413E-10
 12   14     1.36365011834934E-09   3.54549030770828E-08
