    time    temp    dens
   7.74020371905540E-01   7.63513260121534E-02   1.71278410091901E+00
     nin     zin       y       x
  1    0     6.64053400307672E-10   6.64053400307672E-10
  0    1     5.20925462086210E-01   5.20925462086210E-01
  1    1     2.80127345737027E-06   5.60254691474055E-06
  2    1     6.68722488868614E-08   2.00616746660584E-07
  1    2     9.69815716726251E-06   2.90944715017875E-05
  2    2     1.17826564361728E-01   4.71306257446911E-01
  4    2     2.39156650992265E-22   1.43493990595359E-21
  3    3     5.69342589686928E-15   3.41605553812157E-14
  4    3     2.51324948872608E-10   1.75927464210826E-09
  5    3     1.02131171351921E-17   8.17049370815372E-17
  6    3     2.55852565806176E-24   2.30267309225558E-23
  3    4     8.11123198079498E-10   5.67786238655648E-09
  5    4     1.90333167272350E-14   1.71299850545115E-13
  6    4     5.91897480282836E-15   5.91897480282836E-14
  7    4     1.30887651745630E-22   1.43976416920193E-21
  8    4     1.25034500492478E-30   1.50041400590973E-29
  3    5     4.83950595882733E-13   3.87160476706186E-12
  5    5     6.25792048483045E-10   6.25792048483045E-09
  6    5     6.34334285880706E-08   6.97767714468776E-07
  7    5     1.92160025524406E-14   2.30592030629288E-13
  8    5     2.49906894426390E-18   3.24878962754306E-17
  9    5     2.20861588856063E-28   3.09206224398489E-27
  3    6     1.20663581824242E-11   1.08597223641817E-10
  4    6     1.98967753868201E-07   1.98967753868201E-06
  5    6     4.27563840654550E-06   4.70320224720005E-05
  6    6     6.95006831678743E-06   8.34008198014491E-05
  7    6     1.18637817870038E-06   1.54229163231049E-05
  8    6     2.39179374403937E-09   3.34851124165512E-08
  9    6     5.26369950264862E-16   7.89554925397293E-15
 10    6     1.07592572035440E-17   1.72148115256703E-16
 11    6     1.02326944693883E-25   1.73955805979602E-24
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     3.29011072645047E-27   3.61912179909551E-26
  5    7     8.69378008646016E-15   1.04325361037522E-13
  6    7     2.15056976566009E-06   2.79574069535812E-05
  7    7     2.36924354613313E-06   3.31694096458638E-05
  8    7     8.08807465603617E-07   1.21321119840542E-05
  9    7     1.23697870888548E-13   1.97916593421677E-12
 10    7     9.67662349447322E-13   1.64502599406045E-11
 11    7     4.66147198569351E-16   8.39064957424832E-15
 12    7     1.54115367242929E-16   2.92819197761565E-15
 13    7     5.19883203748803E-20   1.03976640749761E-18
 14    7     4.08642341075247E-21   8.58148916258018E-20
  5    8     1.71978471076657E-19   2.23572012399654E-18
  6    8     1.17246334444950E-05   1.64144868222930E-04
  7    8     6.27435958105593E-06   9.41153937158389E-05
  8    8     3.04838996720056E-05   4.87742394752090E-04
  9    8     6.20704852710340E-07   1.05519824960758E-05
 10    8     6.82879896413232E-09   1.22918381354382E-07
 11    8     1.56215889410675E-15   2.96810189880282E-14
 12    8     5.70437853175109E-17   1.14087570635022E-15
 13    8     1.77370018555404E-20   3.72477038966349E-19
 14    8     2.94848965802913E-21   6.48667724766409E-20
  5    9     8.31273379287289E-77   1.16378273100220E-75
  6    9     1.32964975729398E-18   1.99447463594097E-17
  7    9     8.01093478444599E-20   1.28174956551136E-18
  8    9     3.83591039509644E-07   6.52104767166395E-06
  9    9     4.60025935244404E-08   8.28046683439928E-07
 10    9     2.49499382103708E-10   4.74048825997045E-09
 11    9     1.24252420233621E-13   2.48504840467242E-12
 12    9     1.33887267785024E-15   2.81163262348550E-14
 13    9     3.34003660561680E-17   7.34808053235695E-16
 14    9     2.85535426243994E-20   6.56731480361186E-19
 15    9     3.88828679362185E-21   9.33188830469244E-20
 16    9     1.85322895779162E-22   4.63307239447905E-21
 17    9     4.08367436105878E-25   1.06175533387528E-23
  7   10     1.29572145174188E-16   2.20272646796119E-15
  8   10     7.99498886497065E-08   1.43909799569472E-06
  9   10     6.05585338589655E-10   1.15061214332035E-08
 10   10     4.63013628223876E-08   9.26027256447752E-07
 11   10     1.54021896693915E-10   3.23445983057221E-09
 12   10     1.28633445091882E-09   2.82993579202140E-08
 13   10     2.29451392800191E-14   5.27738203440438E-13
 14   10     2.28448434494131E-15   5.48276242785914E-14
 15   10     1.39980867273693E-16   3.49952168184233E-15
 16   10     1.14324216229753E-16   2.97242962197358E-15
 17   10     4.10445771789084E-21   1.10820358383053E-19
 18   10     2.22832047987936E-24   6.23929734366222E-23
 19   10     8.27033185302956E-28   2.39839623737857E-26
 20   10     1.50605165680250E-29   4.51815497040751E-28
 21   10     1.96949111205445E-34   6.10542244736879E-33
 22   10     1.87518202515162E-37   6.00058248048519E-36
 23   10     7.18635169645115E-41   2.37149605982888E-39
 24   10     2.75004833621332E-45   9.35016434312529E-44
 25   10     2.50570600813107E-92   8.76997102845873E-91
 26   10     3.78128395955849E-91   1.36126222544106E-89
 27   10     8.81385410243778E-91   3.26112601790198E-89
 28   10     3.83049623327781E-99   1.45558856864557E-97
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     9.20993012647268E-18   1.74988672402981E-16
  9   11     3.38209454156837E-11   6.76418908313674E-10
 10   11     2.22223459948832E-10   4.66669265892548E-09
 11   11     7.90968048133920E-10   1.74012970589462E-08
 12   11     1.89595502547342E-09   4.36069655858888E-08
 13   11     2.11408994582658E-12   5.07381586998379E-11
