    time    temp    dens
   3.28733401862717E+01   1.00000000000000E-02   2.23577602505720E-05
     nin     zin       y       x
  1    0     1.22397381239031E-08   1.22397381239031E-08
  0    1     5.20899264748436E-01   5.20899264748436E-01
  1    1     1.08159961774810E-05   2.16319923549620E-05
  2    1     1.42914289051717E-06   4.28742867155150E-06
  1    2     8.15748408324670E-06   2.44724522497401E-05
  2    2     1.17830912149203E-01   4.71323648596813E-01
  4    2     1.29945836624758E-23   7.79675019748546E-23
  3    3     1.70715901370180E-13   1.02429540822108E-12
  4    3     3.92941268585641E-09   2.75058888009949E-08
  5    3     9.12029464845517E-18   7.29623571876414E-17
  6    3     4.54640950278146E-27   4.09176855250331E-26
  3    4     1.70510203880307E-10   1.19357142716215E-09
  5    4     7.58801536900744E-13   6.82921383210669E-12
  6    4     1.10528394528202E-13   1.10528394528202E-12
  7    4     2.82118511945300E-21   3.10330363139830E-20
  8    4     8.55393131862762E-33   1.02647175823531E-31
  3    5     1.08215904939343E-25   8.65727239514741E-25
  5    5     1.33513344039707E-07   1.33513344039707E-06
  6    5     4.96860564596405E-07   5.46546621056046E-06
  7    5     7.57389205662568E-18   9.08867046795082E-17
  8    5     1.60006822683765E-21   2.08008869488895E-20
  9    5     3.91739261104291E-36   5.48434965546008E-35
  3    6     1.20663582836073E-11   1.08597224552466E-10
  4    6     6.28228362270624E-08   6.28228362270624E-07
  5    6     3.93721978230961E-06   4.33094176054057E-05
  6    6     7.07990091033380E-06   8.49588109240056E-05
  7    6     1.36026451413468E-06   1.76834386837508E-05
  8    6     2.87219896446159E-09   4.02107855024623E-08
  9    6     4.10655967865827E-19   6.15983951798741E-18
 10    6     2.10340162859992E-20   3.36544260575987E-19
 11    6     6.08053237167664E-33   1.03369050318503E-31
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     4.40305097953787E-83   4.84335607749166E-82
  5    7     9.85681307204741E-19   1.18281756864569E-17
  6    7     1.97546613835096E-06   2.56810597985624E-05
  7    7     5.45715046975355E-06   7.64001065765497E-05
  8    7     2.16918484783425E-06   3.25377727175137E-05
  9    7     9.41622424805859E-15   1.50659587968938E-13
 10    7     4.70372164070879E-15   7.99632678920495E-14
 11    7     8.99176830816575E-20   1.61851829546983E-18
 12    7     2.26798882993941E-20   4.30917877688488E-19
 13    7     1.48930933073974E-23   2.97861866147948E-22
 14    7     5.79625711573396E-25   1.21721399430413E-23
  5    8     4.18610735858579E-23   5.44193956616152E-22
  6    8     8.14594777735754E-06   1.14043268883006E-04
  7    8     4.79645557850207E-06   7.19468336775310E-05
  8    8     3.04837111759958E-05   4.87739378815932E-04
  9    8     7.43380314606735E-07   1.26374653483145E-05
 10    8     1.39240358134055E-08   2.50632644641298E-07
 11    8     1.18327417745147E-15   2.24822093715779E-14
 12    8     1.68734222361269E-17   3.37468444722539E-16
 13    8     1.41756720382567E-22   2.97689112803391E-21
 14    8     3.68315039380443E-24   8.10293086636974E-23
  5    9     5.51118248516041E-77   7.71565547922458E-76
  6    9     1.96467432179773E-15   2.94701148269660E-14
  7    9     6.72048819556313E-16   1.07527811129010E-14
  8    9     2.09498909025087E-07   3.56148145342647E-06
  9    9     1.06984583268163E-07   1.92572249882693E-06
 10    9     6.82961440111678E-10   1.29762673621219E-08
 11    9     1.79870309235997E-14   3.59740618471994E-13
 12    9     1.39614767057244E-17   2.93191010820213E-16
 13    9     1.81856847443260E-19   4.00085064375173E-18
 14    9     2.65424113003199E-23   6.10475459907359E-22
 15    9     8.44838923284204E-25   2.02761341588209E-23
 16    9     3.94264536219428E-26   9.85661340548571E-25
 17    9     4.04826368674891E-31   1.05254855855472E-29
  7   10     5.17744984001586E-22   8.80166472802696E-21
  8   10     1.23726988331232E-13   2.22708578996217E-12
  9   10     1.58099785711446E-10   3.00389592851747E-09
 10   10     4.63411809253777E-08   9.26823618507553E-07
 11   10     3.00900088452310E-10   6.31890185749852E-09
 12   10     1.46014777708692E-09   3.21232510959122E-08
 13   10     1.71863548207279E-14   3.95286160876742E-13
 14   10     2.54435602431751E-15   6.10645445836203E-14
 15   10     3.14149436106830E-20   7.85373590267076E-19
 16   10     1.54180031455034E-20   4.00868081783089E-19
 17   10     1.75225041575285E-24   4.73107612253268E-23
 18   10     1.56502597577516E-26   4.38207273217045E-25
 19   10     1.07125462553871E-32   3.10663841406227E-31
 20   10     4.76472353347540E-36   1.42941706004262E-34
 21   10     1.28912314022509E-41   3.99628173469779E-40
 22   10     8.82678092079150E-45   2.82456989465328E-43
 23   10     3.54411624048855E-48   1.16955835936122E-46
 24   10     1.28664336505041E-52   4.37458744117138E-51
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     2.86697448523014E-21   5.44725152193726E-20
  9   11     2.04077294968136E-19   4.08154589936272E-18
 10   11     7.79418949661223E-11   1.63677979428857E-09
 11   11     1.40026027319911E-09   3.08057260103805E-08
 12   11     2.10853819192374E-09   4.84963784142460E-08
 13   11     3.56416130536883E-12   8.55398713288518E-11
