    time    temp    dens
   1.15278265326869E-01   3.92232306342916E+00   2.24597020114572E+05
     nin     zin       y       x
  1    0     9.03668137669636E-09   9.03668137669636E-09
  0    1     7.61593736744392E-01   7.61593736744392E-01
  1    1     3.08719325410653E-11   6.17438650821307E-11
  2    1     4.84204400860282E-16   1.45261320258084E-15
  1    2     8.47834727925496E-10   2.54350418377649E-09
  2    2     5.95842678177392E-02   2.38337071270957E-01
  4    2     3.43312824104821E-28   2.05987694462893E-27
  3    3     4.82201143645073E-16   2.89320686187044E-15
  4    3     2.36963716156609E-20   1.65874601309626E-19
  5    3     5.98537713219876E-32   4.78830170575901E-31
  6    3     6.98068873334938E-40   6.28261986001444E-39
  3    4     1.44163890119160E-14   1.00914723083412E-13
  5    4     3.22943131811155E-20   2.90648818630040E-19
  6    4     7.85677519578838E-26   7.85677519578838E-25
  7    4     1.06149207029417E-38   1.16764127732359E-37
  8    4     4.42844591988130E-49   5.31413510385756E-48
  3    5     3.69297825419792E-20   2.95438260335834E-19
  5    5     2.82248328118765E-17   2.82248328118765E-16
  6    5     3.25937305633884E-21   3.58531036197272E-20
  7    5     4.24501949178591E-25   5.09402339014309E-24
  8    5     7.39729338097729E-30   9.61648139527047E-29
  9    5     2.40764272987487E-42   3.37069982182482E-41
  3    6     1.82696166034655E-24   1.64426549431189E-23
  4    6     1.29007836405500E-15   1.29007836405500E-14
  5    6     1.46518973897713E-16   1.61170871287485E-15
  6    6     8.75549271452987E-11   1.05065912574358E-09
  7    6     7.77968660152175E-17   1.01135925819783E-15
  8    6     3.48237188666353E-22   4.87532064132895E-21
  9    6     5.61407152287678E-27   8.42110728431517E-26
 10    6     6.70009127911336E-24   1.07201460465814E-22
 11    6     2.74834431199389E-27   4.67218533038961E-26
 12    6     2.10956730575719E-18   3.79722115036294E-17
  4    7     1.07145023335088E-15   1.17859525668597E-14
  5    7     8.29950858417037E-22   9.95941030100444E-21
  6    7     6.91006512462724E-14   8.98308466201542E-13
  7    7     1.42106781588626E-14   1.98949494224077E-13
  8    7     2.04942023275800E-18   3.07413034913701E-17
  9    7     5.92324456138637E-24   9.47719129821819E-23
 10    7     1.71308968791232E-21   2.91225246945094E-20
 11    7     8.47167866646560E-24   1.52490215996381E-22
 12    7     4.50852055014906E-21   8.56618904528321E-20
 13    7     3.60291572448312E-26   7.20583144896624E-25
 14    7     8.27552364710448E-19   1.73785996589194E-17
  5    8     1.24159269892898E-25   1.61407050860767E-24
  6    8     3.82724450631258E-14   5.35814230883761E-13
  7    8     1.53075278121191E-12   2.29612917181786E-11
  8    8     1.43634057753227E-09   2.29814492405164E-08
  9    8     2.52536618436468E-17   4.29312251341996E-16
 10    8     2.33361453740397E-24   4.20050616732714E-23
 11    8     2.02154471460647E-26   3.84093495775229E-25
 12    8     5.07058547242497E-26   1.01411709448499E-24
 13    8     1.43981333772191E-27   3.02360800921601E-26
 14    8     6.17494270784887E-33   1.35848739572675E-31
  5    9     3.19588636833312E-28   4.47424091566636E-27
  6    9     1.97468701394040E-21   2.96203052091060E-20
  7    9     1.88631413566245E-18   3.01810261705993E-17
  8    9     7.62544260622866E-14   1.29632524305887E-12
  9    9     3.67393907217899E-17   6.61309032992218E-16
 10    9     1.60875777287692E-20   3.05663976846615E-19
 11    9     2.68811434193794E-25   5.37622868387589E-24
 12    9     9.62800248929188E-27   2.02188052275130E-25
 13    9     1.43063481796237E-28   3.14739659951720E-27
 14    9     8.79916940141013E-30   2.02380896232433E-28
 15    9     9.31431447994867E-30   2.23543547518768E-28
 16    9     1.97675374343667E-33   4.94188435859167E-32
 17    9     5.06824684878910E-35   1.31774418068517E-33
  7   10     1.96792951981083E-24   3.34548018367840E-23
  8   10     1.20706177585344E-15   2.17271119653619E-14
  9   10     3.16011558760440E-16   6.00421961644835E-15
 10   10     2.59311855930114E-11   5.18623711860227E-10
 11   10     4.58098956513452E-17   9.62007808678250E-16
 12   10     1.77242218624927E-20   3.89932880974840E-19
 13   10     5.33804822415285E-26   1.22775109155515E-24
 14   10     1.39109326798362E-27   3.33862384316069E-26
 15   10     1.32349160125871E-26   3.30872900314677E-25
 16   10     4.80033792042146E-31   1.24808785930958E-29
 17   10     6.56230990469481E-33   1.77182367426760E-31
 18   10     1.51896093196099E-37   4.25309060949078E-36
 19   10     7.90043101946246E-42   2.29112499564411E-40
 20   10     4.00041656832293E-45   1.20012497049688E-43
 21   10     2.91091493808811E-49   9.02383630807315E-48
 22   10     1.23679582536972E-49   3.95774664118311E-48
 23   10     3.32661846190117E-60   1.09778409242739E-58
 24   10     1.95992529674310E-65   6.66374600892653E-64
 25   10     4.93796332619332E-71   1.72828716416766E-69
 26   10     6.39602429317832E-82   2.30256874554420E-80
 27   10     1.48914896499222E-81   5.50985117047121E-80
 28   10     3.55605837296844E-88   1.35130218172801E-86
 29   10     4.35060473686803E-95   1.69673584737853E-93
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.02119971460320E-20   1.94027945774607E-19
  9   11     2.18224861868995E-19   4.36449723737989E-18
 10   11     2.21794165722370E-13   4.65767748016976E-12
 11   11     5.70615190755152E-16   1.25535341966133E-14
 12   11     2.82541512286287E-15   6.49845478258460E-14
