    time    temp    dens
   3.14950998278831E-01   2.05964652174810E-01   3.28817108681340E+01
     nin     zin       y       x
  1    0     2.61671135809345E-10   2.61671135809345E-10
  0    1     7.51723483533486E-01   7.51723483533486E-01
  1    1     2.14596685139197E-07   4.29193370278395E-07
  2    1     6.34281760096446E-09   1.90284528028934E-08
  1    2     7.47278618634819E-06   2.24183585590446E-05
  2    2     6.15220653640183E-02   2.46088261456073E-01
  4    2     1.51733364439324E-24   9.10400186635943E-24
  3    3     1.13498427886737E-16   6.80990567320422E-16
  4    3     8.78151277875976E-12   6.14705894513183E-11
  5    3     2.80509606740383E-22   2.24407685392306E-21
  6    3     1.15606807489385E-26   1.04046126740447E-25
  3    4     1.40504164137261E-08   9.83529148960828E-08
  5    4     4.26273138066006E-17   3.83645824259406E-16
  6    4     6.84350224725972E-18   6.84350224725972E-17
  7    4     1.86455648156907E-28   2.05101212972598E-27
  8    4     8.13461687608718E-36   9.76154025130462E-35
  3    5     6.48031021426135E-13   5.18424817140908E-12
  5    5     1.48751075306797E-13   1.48751075306797E-12
  6    5     1.19017832518341E-11   1.30919615770175E-10
  7    5     2.63476265665264E-15   3.16171518798316E-14
  8    5     3.62967829426177E-20   4.71858178254030E-19
  9    5     4.14794464451836E-29   5.80712250232571E-28
  3    6     3.34918959532649E-11   3.01427063579384E-10
  4    6     1.79140358964140E-07   1.79140358964140E-06
  5    6     3.75751154670545E-06   4.13326270137600E-05
  6    6     2.36321042534598E-06   2.83585251041518E-05
  7    6     1.69548017966103E-07   2.20412423355934E-06
  8    6     1.85256334993562E-10   2.59358868990987E-09
  9    6     6.90934186615834E-17   1.03640127992375E-15
 10    6     5.37605257475836E-13   8.60168411961337E-12
 11    6     9.31294377475000E-15   1.58320044170750E-13
 12    6     7.12184555912828E-15   1.28193220064309E-13
  4    7     9.32275684230771E-15   1.02550325265385E-13
  5    7     2.19381304630210E-09   2.63257565556252E-08
  6    7     1.56022917161781E-06   2.02829792310315E-05
  7    7     7.63870229073649E-07   1.06941832070311E-05
  8    7     2.97513110974287E-09   4.46269666461430E-08
