    time    temp    dens
   9.57145088744815E-01   6.13589965206727E-02   9.05787808620384E-01
     nin     zin       y       x
  1    0     3.22659832659197E-10   3.22659832659197E-10
  0    1     7.51650790754803E-01   7.51650790754803E-01
  1    1     2.42190276145731E-06   4.84380552291461E-06
  2    1     8.13584217759242E-08   2.44075265327773E-07
  1    2     1.29129600669483E-05   3.87388802008450E-05
  2    2     6.15406743207725E-02   2.46162697283090E-01
  4    2     3.61509602819503E-22   2.16905761691702E-21
  3    3     1.41253957137469E-14   8.47523742824814E-14
  4    3     4.95451859746405E-10   3.46816301822483E-09
  5    3     2.64882235704022E-17   2.11905788563217E-16
  6    3     2.40817439894061E-24   2.16735695904655E-23
  3    4     2.20286529620764E-09   1.54200570734535E-08
  5    4     2.68098005683960E-14   2.41288205115564E-13
  6    4     1.30084195749114E-14   1.30084195749114E-13
  7    4     1.94027294065603E-22   2.13430023472164E-21
  8    4     5.41691180522788E-31   6.50029416627345E-30
  3    5     2.93120029410776E-12   2.34496023528621E-11
  5    5     1.33895636669518E-09   1.33895636669518E-08
  6    5     5.06911536978617E-08   5.57602690676478E-07
  7    5     2.16424385116827E-13   2.59709262140192E-12
  8    5     8.79517582737013E-19   1.14337285755812E-17
  9    5     1.56464434608303E-29   2.19050208451625E-28
  3    6     3.34960215267347E-11   3.01464193740612E-10
  4    6     1.75045601207958E-07   1.75045601207958E-06
  5    6     3.95351111575694E-06   4.34886222733264E-05
  6    6     3.30226038083518E-06   3.96271245700222E-05
  7    6     3.18202379443919E-07   4.13663093277095E-06
  8    6     5.13639322073419E-10   7.19095050902787E-09
  9    6     1.65984091311201E-14   2.48976136966802E-13
 10    6     3.03366662406418E-13   4.85386659850268E-12
 11    6     3.84164091787601E-15   6.53078956038921E-14
 12    6     7.90050804440291E-16   1.42209144799252E-14
  4    7     6.61231137476884E-16   7.27354251224572E-15
  5    7     1.26422163724803E-13   1.51706596469763E-12
  6    7     1.42163603668021E-06   1.84812684768427E-05
  7    7     1.18502535839341E-06   1.65903550175078E-05
  8    7     5.02681002779980E-07   7.54021504169970E-06
  9    7     1.80567798088820E-11   2.88908476942112E-10
 10    7     7.45588416329226E-11   1.26750030775968E-09
 11    7     2.40454823087937E-11   4.32818681558287E-10
 12    7     7.50090682630772E-15   1.42517229699847E-13
 13    7     3.25753179204221E-16   6.51506358408442E-15
 14    7     6.82302894403111E-17   1.43283607824653E-15
  5    8     1.07880575070999E-19   1.40244747592299E-18
  6    8     1.45167975175389E-05   2.03235165245544E-04
  7    8     7.94667461771060E-06   1.19200119265659E-04
  8    8     8.93817948802042E-06   1.43010871808327E-04
  9    8     3.64100546946231E-07   6.18970929808593E-06
 10    8     8.98401427133954E-09   1.61712256884112E-07
 11    8     4.42326155253674E-14   8.40419694981981E-13
 12    8     2.95377334185578E-15   5.90754668371155E-14
 13    8     1.70941306495875E-16   3.58976743641337E-15
 14    8     7.36187463843892E-17   1.61961242045656E-15
  5    9     5.96568470791087E-27   8.35195859107522E-26
  6    9     4.60412906481391E-17   6.90619359722087E-16
  7    9     4.91152355892126E-18   7.85843769427401E-17
  8    9     8.00787995353494E-07   1.36133959210094E-05
  9    9     1.53692785393806E-07   2.76647013708852E-06
 10    9     3.75287988622544E-10   7.13047178382833E-09
 11    9     1.54394758677354E-13   3.08789517354709E-12
 12    9     6.02626626950477E-15   1.26551591659600E-13
 13    9     8.33562912203656E-15   1.83383840684804E-13
 14    9     1.17144872532775E-17   2.69433206825382E-16
 15    9     3.33098076856650E-18   7.99435384455959E-17
 16    9     3.69834825228174E-19   9.24587063070436E-18
 17    9     1.10359739371885E-20   2.86935322366902E-19
  7   10     5.82089023984353E-16   9.89551340773400E-15
  8   10     2.93940433775627E-07   5.29092780796129E-06
  9   10     2.24782904438944E-09   4.27087518433994E-08
 10   10     2.72843831308718E-08   5.45687662617436E-07
 11   10     3.81847944309998E-10   8.01880683050995E-09
 12   10     1.78865350376054E-09   3.93503770827318E-08
 13   10     8.50161839908286E-14   1.95537223178906E-12
 14   10     1.69446204393187E-15   4.06670890543650E-14
 15   10     1.74948459171956E-15   4.37371147929890E-14
 16   10     2.10563501342075E-16   5.47465103489396E-15
 17   10     5.53040377602672E-19   1.49320901952722E-17
 18   10     3.88604167359515E-23   1.08809166860664E-21
 19   10     3.34772782791689E-25   9.70841070095898E-24
 20   10     4.34567293608830E-27   1.30370188082649E-25
 21   10     3.75153240539867E-31   1.16297504567359E-29
 22   10     6.93934609809940E-33   2.22059075139181E-31
 23   10     2.92692136946475E-36   9.65884051923366E-35
 24   10     2.15907268924436E-41   7.34084714343083E-40
 25   10     9.81523733343222E-46   3.43533306670128E-44
 26   10     1.52503789012348E-50   5.49013640444454E-49
 27   10     2.15321597689649E-50   7.96689911451702E-49
 28   10     1.14047434752267E-55   4.33380252058614E-54
 29   10     9.31556411986538E-60   3.63307000674750E-58
