    time    temp    dens
   6.28432518990361E+02   1.00000000000000E-02   3.20024956109179E-09
     nin     zin       y       x
  1    0     2.31622306418157E-08   2.31622306418157E-08
  0    1     7.51637519034610E-01   7.51637519034610E-01
  1    1     7.30853802667650E-06   1.46170760533530E-05
  2    1     1.00822619139660E-06   3.02467857418979E-06
  1    2     1.20338766389495E-05   3.61016299168484E-05
  2    2     6.15421272296677E-02   2.46168508918671E-01
  4    2     3.43775350353552E-26   2.06265210212131E-25
  3    3     5.62279631881428E-13   3.37367779128857E-12
  4    3     3.06916055783561E-09   2.14841239048492E-08
  5    3     1.79892037688111E-21   1.43913630150488E-20
  6    3     2.28166335339710E-34   2.05349701805739E-33
  3    4     1.10288088901729E-09   7.72016622312103E-09
  5    4     3.85763366289655E-13   3.47187029660689E-12
  6    4     1.31879578088139E-13   1.31879578088139E-12
  7    4     9.34988259560838E-26   1.02848708551692E-24
  8    4     7.65558642724434E-41   9.18670371269320E-40
  3    5     3.38096629360848E-19   2.70477303488678E-18
  5    5     1.74835244816435E-07   1.74835244816435E-06
  6    5     1.34917646641420E-06   1.48409411305562E-05
  7    5     3.26771521042017E-19   3.92125825250420E-18
  8    5     6.43484971884308E-24   8.36530463449600E-23
  9    5     4.25845758232579E-42   5.96184061525610E-41
  3    6     3.34960216019308E-11   3.01464194417377E-10
  4    6     2.90452570163586E-17   2.90452570163586E-16
  5    6     2.73845620051913E-06   3.01230182057104E-05
  6    6     3.35912084834820E-06   4.03094501801784E-05
  7    6     1.06333471908388E-06   1.38233513480904E-05
  8    6     6.31888335404784E-10   8.84643669566698E-09
  9    6     8.34475794921147E-20   1.25171369238172E-18
 10    6     1.67066823973459E-22   2.67306918357535E-21
 11    6     1.95638528936133E-21   3.32585499191426E-20
 12    6     1.76855770327395E-21   3.18340386589311E-20
  4    7     8.08285329701256E-22   8.89113862671382E-21
  5    7     1.90945402009265E-19   2.29134482411119E-18
  6    7     6.76225610115727E-07   8.79093293150444E-06
  7    7     1.54930524242530E-05   2.16902733939542E-04
  8    7     8.18911588251188E-06   1.22836738237678E-04
  9    7     1.76026128416395E-16   2.81641805466232E-15
 10    7     1.13624493699107E-19   1.93161639288482E-18
 11    7     8.65373304353735E-21   1.55767194783672E-19
 12    7     3.80583595093974E-21   7.23108830678551E-20
