    time    temp    dens
   2.32823906701996E+00   8.03554346544625E-02   7.02793229399224E+00
     nin     zin       y       x
  1    0     2.70814771006320E-30   2.70814771006320E-30
  0    1     3.04980884572821E-03   3.04980884572821E-03
  1    1     3.82407944901400E-21   7.64815889802799E-21
  2    1     1.00000000000000E-99   1.00000000000000E-99
  1    2     7.38086959409075E-20   2.21426087822723E-19
  2    2     6.03500047289179E-02   2.41400018915672E-01
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.00000000000000E-99   1.00000000000000E-99
  4    3     1.00000000000000E-99   1.00000000000000E-99
  5    3     1.00000000000000E-99   1.00000000000000E-99
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     4.70968777990176E-19   3.29678144593123E-18
  5    4     1.00000000000000E-99   1.00000000000000E-99
  6    4     1.00000000000000E-99   1.00000000000000E-99
  7    4     1.00000000000000E-99   1.00000000000000E-99
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     6.68664512049321E-24   5.34931609639457E-23
  5    5     7.99254469078567E-20   7.99254469078567E-19
  6    5     1.66128527903452E-23   1.82741380693798E-22
  7    5     1.00000000000000E-99   1.00000000000000E-99
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     9.53985892690502E-18   9.53985892690502E-17
  5    6     1.62169381375937E-19   1.78386319513531E-18
  6    6     2.23487940878087E-11   2.68185529053704E-10
  7    6     8.08689175762957E-14   1.05129592849184E-12
  8    6     1.00000000000000E-99   1.00000000000000E-99
  9    6     1.00000000000000E-99   1.00000000000000E-99
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     8.69809178068651E-11   1.13075193148925E-09
  7    7     1.42277893964744E-10   1.99189051550641E-09
  8    7     2.65966093244908E-13   3.98949139867362E-12
  9    7     1.00000000000000E-99   1.00000000000000E-99
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
