    time    temp    dens
   3.61313417065775E-01   3.92783620852043E+00   8.20808628397900E+05
     nin     zin       y       x
  1    0     9.61379893959659E-12   9.61379893959659E-12
  0    1     6.96562165686749E-01   6.96562165686749E-01
  1    1     1.08525575925680E-13   2.17051151851359E-13
  2    1     7.26624697084203E-22   2.17987409125261E-21
  1    2     5.51676308496389E-12   1.65502892548917E-11
  2    2     5.50720377692816E-02   2.20288151077126E-01
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     3.22661159742428E-18   1.93596695845457E-17
  4    3     7.23051509322018E-25   5.06136056525413E-24
  5    3     1.00000000000000E-99   1.00000000000000E-99
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     3.14236400483336E-16   2.19965480338335E-15
  5    4     2.91626563634823E-22   2.62463907271340E-21
  6    4     1.00000000000000E-99   1.00000000000000E-99
  7    4     1.00000000000000E-99   1.00000000000000E-99
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     2.68846918937399E-21   2.15077535149919E-20
  5    5     6.25668936194739E-19   6.25668936194739E-18
  6    5     1.06640399771470E-20   1.17304439748617E-19
  7    5     1.00000000000000E-99   1.00000000000000E-99
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     4.41988657373458E-25   3.97789791636112E-24
  4    6     4.01360704513004E-15   4.01360704513004E-14
  5    6     2.91459883221725E-18   3.20605871543898E-17
  6    6     6.00651548296866E-11   7.20781857956240E-10
  7    6     1.70813211728126E-18   2.22057175246564E-17
  8    6     5.98101152745595E-23   8.37341613843833E-22
  9    6     1.00000000000000E-99   1.00000000000000E-99
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     6.26569674520605E-23   6.89226641972665E-22
  5    7     5.48507885422965E-23   6.58209462507558E-22
  6    7     1.54904075556907E-13   2.01375298223979E-12
  7    7     2.75291814054331E-16   3.85408539676063E-15
  8    7     1.41921920348594E-18   2.12882880522892E-17
  9    7     1.00000000000000E-99   1.00000000000000E-99
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     2.81674077483740E-13   3.94343708477237E-12
  7    8     9.31906970590755E-14   1.39786045588613E-12
  8    8     1.24605748675372E-09   1.99369197880595E-08
  9    8     4.96690864834056E-19   8.44374470217895E-18
 10    8     2.46327450922947E-25   4.43389411661304E-24
 11    8     1.00000000000000E-99   1.00000000000000E-99
 12    8     1.00000000000000E-99   1.00000000000000E-99
 13    8     1.00000000000000E-99   1.00000000000000E-99
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     4.87503364395759E-20   7.31255046593638E-19
  7    9     3.80926018390309E-19   6.09481629424495E-18
  8    9     2.20396496442902E-13   3.74674043952933E-12
  9    9     2.29132333344273E-18   4.12438200019691E-17
 10    9     1.45675493060678E-20   2.76783436815289E-19
 11    9     1.00000000000000E-99   1.00000000000000E-99
 12    9     1.00000000000000E-99   1.00000000000000E-99
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     2.84268781772448E-25   4.83256929013162E-24
  8   10     4.39050104439612E-15   7.90290187991302E-14
  9   10     1.50060406588757E-17   2.85114772518639E-16
 10   10     2.73550230747043E-11   5.47100461494086E-10
 11   10     6.63496789664829E-19   1.39334325829614E-17
 12   10     1.18882870553595E-21   2.61542315217909E-20
 13   10     1.00000000000000E-99   1.00000000000000E-99
 14   10     1.00000000000000E-99   1.00000000000000E-99
 15   10     1.00000000000000E-99   1.00000000000000E-99
 16   10     1.00000000000000E-99   1.00000000000000E-99
 17   10     1.00000000000000E-99   1.00000000000000E-99
 18   10     1.00000000000000E-99   1.00000000000000E-99
 19   10     1.00000000000000E-99   1.00000000000000E-99
 20   10     1.00000000000000E-99   1.00000000000000E-99
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.04050081840883E-19   1.97695155497678E-18
  9   11     3.34526004374240E-20   6.69052008748480E-19
 10   11     7.15290882632864E-13   1.50211085352901E-11
 11   11     1.25474692630003E-17   2.76044323786006E-16
 12   11     3.06127369385417E-15   7.04092949586460E-14
 13   11     5.44889186563154E-24   1.30773404775157E-22
 14   11     1.00000000000000E-99   1.00000000000000E-99
 15   11     1.00000000000000E-99   1.00000000000000E-99
 16   11     1.00000000000000E-99   1.00000000000000E-99
 17   11     1.00000000000000E-99   1.00000000000000E-99
 18   11     1.00000000000000E-99   1.00000000000000E-99
 19   11     1.00000000000000E-99   1.00000000000000E-99
 20   11     1.00000000000000E-99   1.00000000000000E-99
 21   11     1.00000000000000E-99   1.00000000000000E-99
 22   11     1.00000000000000E-99   1.00000000000000E-99
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     2.51522238721025E-22   5.03044477442050E-21
  9   12     1.80027867280308E-21   3.78058521288647E-20
 10   12     8.21288442550455E-13   1.80683457361100E-11
 11   12     1.26313318356065E-15   2.90520632218949E-14
 12   12     1.30554059353315E-10   3.13329742447955E-09
 13   12     4.02745265799700E-18   1.00686316449925E-16
 14   12     2.22543055493986E-16   5.78611944284363E-15
 15   12     1.00000000000000E-99   1.00000000000000E-99
 16   12     1.00000000000000E-99   1.00000000000000E-99
 17   12     1.00000000000000E-99   1.00000000000000E-99
 18   12     1.00000000000000E-99   1.00000000000000E-99
 19   12     1.00000000000000E-99   1.00000000000000E-99
 20   12     1.00000000000000E-99   1.00000000000000E-99
 21   12     1.00000000000000E-99   1.00000000000000E-99
 22   12     1.00000000000000E-99   1.00000000000000E-99
 23   12     1.00000000000000E-99   1.00000000000000E-99
 24   12     1.00000000000000E-99   1.00000000000000E-99
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     1.00000000000000E-99   1.00000000000000E-99
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.70047538956480E-17   3.91109339599904E-16
 11   13     2.58943339352794E-18   6.21464014446706E-17
 12   13     2.24918823513518E-12   5.62297058783795E-11
 13   13     2.46791592336745E-16   6.41658140075538E-15
 14   13     1.20286139016426E-13   3.24772575344350E-12
 15   13     2.91035255931591E-22   8.14898716608455E-21
 16   13     2.72412310347573E-22   7.89995700007962E-21
 17   13     1.00000000000000E-99   1.00000000000000E-99
 18   13     1.00000000000000E-99   1.00000000000000E-99
 19   13     1.00000000000000E-99   1.00000000000000E-99
 20   13     1.00000000000000E-99   1.00000000000000E-99
 21   13     1.00000000000000E-99   1.00000000000000E-99
 22   13     1.00000000000000E-99   1.00000000000000E-99
 23   13     1.00000000000000E-99   1.00000000000000E-99
 24   13     1.00000000000000E-99   1.00000000000000E-99
 25   13     1.00000000000000E-99   1.00000000000000E-99
 26   13     1.00000000000000E-99   1.00000000000000E-99
 27   13     1.00000000000000E-99   1.00000000000000E-99
 28   13     1.00000000000000E-99   1.00000000000000E-99
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.22922852040995E-19   2.95014844898387E-18
 11   14     1.36005223414806E-19   3.40013058537016E-18
 12   14     1.71997772045329E-12   4.47194207317856E-11
 13   14     2.40304924732804E-14   6.48823296778571E-13
 14   14     5.12816246596713E-10   1.43588549047080E-08
 15   14     2.62297828645721E-16   7.60663703072590E-15
 16   14     3.65115859079883E-15   1.09534757723965E-13
 17   14     2.90605777417672E-25   9.00877909994785E-24
 18   14     1.00000000000000E-99   1.00000000000000E-99
 19   14     1.00000000000000E-99   1.00000000000000E-99
 20   14     1.00000000000000E-99   1.00000000000000E-99
 21   14     1.00000000000000E-99   1.00000000000000E-99
 22   14     1.00000000000000E-99   1.00000000000000E-99
 23   14     1.00000000000000E-99   1.00000000000000E-99
 24   14     1.00000000000000E-99   1.00000000000000E-99
 25   14     1.00000000000000E-99   1.00000000000000E-99
 26   14     1.00000000000000E-99   1.00000000000000E-99
 27   14     1.00000000000000E-99   1.00000000000000E-99
 28   14     1.00000000000000E-99   1.00000000000000E-99
 29   14     1.00000000000000E-99   1.00000000000000E-99
 30   14     1.00000000000000E-99   1.00000000000000E-99
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.00000000000000E-99   1.00000000000000E-99
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.00000000000000E-99   1.00000000000000E-99
  9   15     1.00000000000000E-99   1.00000000000000E-99
 10   15     2.10554220412408E-25   5.26385551031021E-24
 11   15     1.17668996623630E-24   3.05939391221438E-23
 12   15     5.13397001763016E-16   1.38617190476014E-14
 13   15     8.36744338598198E-17   2.34288414807496E-15
 14   15     1.72742570034875E-11   5.00953453101138E-10
 15   15     1.64430709862026E-14   4.93292129586079E-13
 16   15     1.07680651875248E-13   3.33810020813267E-12
 17   15     1.37528848726929E-20   4.40092315926171E-19
 18   15     4.49168333939142E-21   1.48225550199917E-19
 19   15     1.00000000000000E-99   1.00000000000000E-99
 20   15     1.00000000000000E-99   1.00000000000000E-99
 21   15     1.00000000000000E-99   1.00000000000000E-99
 22   15     1.00000000000000E-99   1.00000000000000E-99
 23   15     1.00000000000000E-99   1.00000000000000E-99
 24   15     1.00000000000000E-99   1.00000000000000E-99
 25   15     1.00000000000000E-99   1.00000000000000E-99
 26   15     1.00000000000000E-99   1.00000000000000E-99
 27   15     1.00000000000000E-99   1.00000000000000E-99
 28   15     1.00000000000000E-99   1.00000000000000E-99
 29   15     1.00000000000000E-99   1.00000000000000E-99
 30   15     1.00000000000000E-99   1.00000000000000E-99
 31   15     1.00000000000000E-99   1.00000000000000E-99
 32   15     1.00000000000000E-99   1.00000000000000E-99
 33   15     1.00000000000000E-99   1.00000000000000E-99
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
 39   15     1.00000000000000E-99   1.00000000000000E-99
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     1.00000000000000E-99   1.00000000000000E-99
  9   16     1.00000000000000E-99   1.00000000000000E-99
 10   16     1.00000000000000E-99   1.00000000000000E-99
 11   16     1.00000000000000E-99   1.00000000000000E-99
 12   16     4.00386849516811E-19   1.12108317864707E-17
 13   16     3.06988492568527E-18   8.90266628448730E-17
 14   16     9.99904058741449E-12   2.99971217622435E-10
 15   16     5.56997041259994E-13   1.72669082790598E-11
 16   16     1.39784953126297E-09   4.47311850004150E-08
 17   16     3.87310305419287E-15   1.27812400788365E-13
 18   16     5.37584060134457E-16   1.82778580445716E-14
 19   16     5.08820526305226E-23   1.78087184206829E-21
 20   16     1.00000000000000E-99   1.00000000000000E-99
 21   16     1.00000000000000E-99   1.00000000000000E-99
 22   16     1.00000000000000E-99   1.00000000000000E-99
 23   16     1.00000000000000E-99   1.00000000000000E-99
 24   16     1.00000000000000E-99   1.00000000000000E-99
 25   16     1.00000000000000E-99   1.00000000000000E-99
 26   16     1.00000000000000E-99   1.00000000000000E-99
 27   16     1.00000000000000E-99   1.00000000000000E-99
 28   16     1.00000000000000E-99   1.00000000000000E-99
 29   16     1.00000000000000E-99   1.00000000000000E-99
 30   16     1.00000000000000E-99   1.00000000000000E-99
 31   16     1.00000000000000E-99   1.00000000000000E-99
 32   16     1.00000000000000E-99   1.00000000000000E-99
 33   16     1.00000000000000E-99   1.00000000000000E-99
 34   16     1.00000000000000E-99   1.00000000000000E-99
