    time    temp    dens
   1.04936805134986E+00   1.00756299873436E+00   1.38547417814915E+04
     nin     zin       y       x
  1    0     1.47698812038693E-20   1.47698812038693E-20
  0    1     6.93906637327997E-01   6.93906637327997E-01
  1    1     1.65406596742626E-18   3.30813193485252E-18
  2    1     1.00000000000000E-99   1.00000000000000E-99
  1    2     6.59175009269507E-16   1.97752502780852E-15
  2    2     5.10255494016166E-02   2.04102197606467E-01
  4    2     1.00000000000000E-99   1.00000000000000E-99
  3    3     1.00000000000000E-99   1.00000000000000E-99
  4    3     1.00000000000000E-99   1.00000000000000E-99
  5    3     1.00000000000000E-99   1.00000000000000E-99
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     2.84465257814766E-16   1.99125680470336E-15
  5    4     1.00000000000000E-99   1.00000000000000E-99
  6    4     1.00000000000000E-99   1.00000000000000E-99
  7    4     1.00000000000000E-99   1.00000000000000E-99
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     1.01843854397780E-21   8.14750835182242E-21
  5    5     2.94130458139734E-23   2.94130458139734E-22
  6    5     1.00000000000000E-99   1.00000000000000E-99
  7    5     1.00000000000000E-99   1.00000000000000E-99
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.42723728768754E-21   1.28451355891879E-20
  4    6     3.91564202065858E-15   3.91564202065858E-14
  5    6     1.27034010813978E-16   1.39737411895375E-15
  6    6     1.86492208613502E-13   2.23790650336202E-12
  7    6     5.20638318907833E-24   6.76829814580183E-23
  8    6     1.00000000000000E-99   1.00000000000000E-99
  9    6     1.00000000000000E-99   1.00000000000000E-99
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     5.36991120561028E-20   6.44389344673234E-19
  6    7     1.62524627624870E-13   2.11282015912331E-12
  7    7     1.86758118793546E-17   2.61461366310964E-16
  8    7     4.08234878168438E-23   6.12352317252657E-22
  9    7     1.00000000000000E-99   1.00000000000000E-99
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.47807297634156E-18   1.92149486924403E-17
